GENE	FancG_HCT116_T1	FancG_HCT116_T2	FancL_HCT116_T1	FancL_HCT116_T2	WT_HCT116_T1	WT_HCT116_T2
ACTRT3	-1.982	-0.35600000000000004	-8.009	-6.938	-13.57	-15.547
ACVR1	1.386	-10.392000000000001	-6.874	-18.842	-1.2990000000000002	-14.902000000000001
ACVR1B	0.344	-0.713	-10.019	-16.904	-2.658	-24.908
ACVR1C	7.282	-1.0959999999999999	-1.124	-16.787	-3.625	-20.32
ACVR2A	7.695	-5.166	11.329	-7.041	2.6430000000000002	-9.658999999999999
ACVR2B	-7.943	-7.92	-15.888	-12.915	-9.961	-10.887
ACVRL1	-7.082999999999999	-11.262	-12.049000000000001	-8.204	-22.180999999999997	-24.105
ACY1	-7.824	-7.432	-8.781	-4.209	-17.062	-17.058
ACY3	-10.623	-10.538	-9.645	-2.093	-20.619	-14.912
ACYP1	-9.267999999999999	-18.320999999999998	-13.587	-18.674	-7.79	-12.356
ACYP2	-3.427	-12.652999999999999	-10.96	-10.456	-10.959000000000001	-22.252
ADA	-14.190999999999999	-12.887	-17.3	-13.923	-22.945999999999998	-20.925
ADAD1	-1.673	-7.319	-5.605	-17.908	-10.809000000000001	-15.889000000000001
ADAD2	-7.723	-12.29	-18.506	-38.137	-15.628	-12.982000000000001
ADAL	-0.684	-3.972	-10.354000000000001	-15.207	-8.533999999999999	-16.672
ADAM10	-8.422	-9.126	-4.872	-6.809	-22.171999999999997	-31.752
ADAM11	0.16899999999999998	-4.379	-4.891	-3.138	-11.620999999999999	-23.649
ADAM12	-1.7790000000000001	0.051	-5.3420000000000005	-4.069	-16.553	-21.854
ADAM15	-1.7719999999999998	-3.8739999999999997	-7.142	-14.257	-4.843999999999999	-3.145
ADAM17	-8.352	-29.195	-20.003	-55.174	2.366	-9.931000000000001
ADAM18	2.39	-9.135	-6.199	-21.614	-0.67	-17.557000000000002
ADAM19	-12.175	-5.386	-14.606	-8.641	-19.233	-18.765
ADAM2	-1.6369999999999998	-9.96	-6.651	-11.142000000000001	-17.473	-28.072
ADAM20	-4.716	-18.32	-11.265999999999998	-23.31	-27.123	-40.705
ADAM21	6.896	-13.745999999999999	-2.0540000000000003	-18.333	4.373	-17.750999999999998
ADAM22	-8.147	-16.142	-5.428	-10.116	-16.244	-17.48
ADAM23	3.3480000000000003	-0.10300000000000001	-6.435	-21.846999999999998	-13.052999999999999	-37.166
ADAM28	1.376	-7.093999999999999	-8.512	-24.688000000000002	-7.756	-26.585
ADAM29	-6.17	-5.728	-15.879000000000001	-19.812	-14.224	-18.492
ADAM30	-6.468999999999999	-13.671	-6.053	-17.048	-11.124	-14.632
ADAM32	-0.057999999999999996	-15.662	-1.5219999999999998	-22.588	-7.369	-26.799
ADAM33	7.506	-0.17800000000000002	-1.196	-5.2379999999999995	-1.7280000000000002	-17.135
ADAM7	-1.217	-7.124	-5.537000000000001	-12.05	-13.44	-37.773
ADAM8	-6.665	-9.152999999999999	-12.389000000000001	-16.049	-24.311999999999998	-24.884
ADAM9	-5.048	-5.716	-11.988	-19.436	-14.732999999999999	-20.848000000000003
ADAMDEC1	-9.876	-12.959000000000001	-15.378	-28.697	-17.750999999999998	-11.880999999999998
ADAMTS1	-10.184	-14.431	-16.253	-24.104	-20.573	-21.643
ADAMTS10	-13.491	-11.799000000000001	-27.21	-25.245	-28.365	-19.76
ADAMTS12	-4.246	-10.039	-6.186	-17.284000000000002	-9.244	-11.154000000000002
ADAMTS13	-11.129000000000001	-11.388	-17.344	-14.072000000000001	-22.355	-24.316999999999997
ADAMTS14	0.429	-3.029	5.733	5.481	-8.447000000000001	-19.199
ADAMTS15	-9.545	-3.576	-10.717	-0.11599999999999999	-25.715999999999998	-24.959
ADAMTS16	-9.271	-11.106	-18.964000000000002	-25.143	-17.407	-17.772000000000002
ADAMTS17	-9.532	-19.798	-13.954	-13.0	-11.306	-15.556
ADAMTS18	-1.435	-13.623	-9.269	-24.284000000000002	-17.287	-33.048
ADAMTS19	-5.534	-7.962000000000001	15.655999999999999	-30.875999999999998	9.256	-49.89
ADAMTS2	-10.954	-17.55	-22.605	-17.086	-22.175	-25.701999999999998
ADAMTS20	-4.631	-9.339	-12.927	-29.436999999999998	-21.176	-25.302
ADAMTS3	-0.8690000000000001	-8.943999999999999	-8.199	-16.484	-9.374	-13.738
ADAMTS4	-8.419	-16.158	-16.605	-20.541	-10.62	-10.549000000000001
ADAMTS5	-5.811	-9.276	-17.415	-20.53	-31.653000000000002	-28.660999999999998
ADAMTS7	-10.370999999999999	-7.178999999999999	-12.302999999999999	-14.499	-21.163	-25.453000000000003
ADAMTS8	-7.212000000000001	-0.569	-18.069000000000003	-24.41	-22.011999999999997	-4.427
ADAMTS9	-4.704	-14.277999999999999	-4.779	-5.289	-11.409	-17.173
ADAMTSL1	-8.462	-18.156	-8.646	-15.91	-8.138	-18.785999999999998
ADAMTSL2	-11.619000000000002	-10.118	-25.451999999999998	-27.616	-37.9	-38.638000000000005
ADAMTSL3	-3.613	-17.996	-1.621	-14.192	-9.828	-23.295
ADAMTSL4	0.228	-7.329	6.359	-9.068	-1.444	-18.436
ADAMTSL4-AS1	-6.426	11.532	-7.162000000000001	11.056	-15.998	-1.9480000000000002
ADAMTSL5	0.182	5.502999999999999	-10.834000000000001	-16.831	-9.272	-1.962
ADAP1	4.37	-0.462	-2.122	-17.070999999999998	-7.692	-17.798
ADAP2	-2.201	-13.165999999999999	-5.118	-14.927	-6.3870000000000005	-21.921999999999997
ADAR	-3.819	-14.845999999999998	-9.141	-18.355999999999998	-5.7860000000000005	-14.372
ADARB1	-4.7989999999999995	-13.954	-10.174	-13.273	-15.609000000000002	-24.868000000000002
ADARB2	-10.887	-16.521	-21.133000000000003	-28.835	-15.737	-11.359000000000002
ADAT1	-1.474	-7.711	-4.742	-12.677	-5.696000000000001	-3.057
ADAT2	-1.36	-9.211	0.344	-12.353	-1.4080000000000001	-8.326
ADAT3	-12.165	-12.276	-25.02	-21.499000000000002	-14.26	-1.2429999999999999
ADC	-3.372	-3.253	-2.733	-9.55	-3.573	-0.878
ADCK1	-1.5830000000000002	-0.775	-11.76	-7.809	-9.502	-6.596
ADCK2	-10.101	-15.194	-10.696	-10.863	-11.558	-12.86
ADCK3	2.658	-6.937	-2.8339999999999996	-13.097000000000001	2.785	-18.93
ADCK4	-6.3	0.34299999999999997	-9.946	-1.4069999999999998	-19.799	-18.099
ADCK5	-10.292	-20.500999999999998	-18.488	-23.801	-25.463	-29.618000000000002
ADCY1	-3.6919999999999997	-10.992	-15.273	-34.488	-16.989	-22.888
ADCY10	-4.246	-8.971	-4.601	-11.799000000000001	-21.031999999999996	-32.497
ADCY2	-7.379	-22.064	-8.202	-18.761	-21.601	-26.999000000000002
ADCY3	0.191	-1.4040000000000001	-8.735	-9.427	-21.02	-25.611
ADCY4	-12.302999999999999	-8.453	-16.526	-1.916	-26.913	-3.4739999999999998
ADCY5	-3.516	-8.17	-11.847000000000001	-18.06	-21.844	-24.563000000000002
ADCY6	-10.802999999999999	-15.331	-8.722999999999999	-9.033	-14.96	-16.963
ADCY7	-8.833	-8.859	-13.425999999999998	-1.905	-17.371	-10.035
ADCY8	-9.333	-32.775999999999996	-14.946	-39.235	-7.653	-2.213
ADCY9	-7.891	1.194	-11.89	-3.676	-15.554	-10.9
ADCYAP1	-10.623	-3.032	-5.532	-2.261	-16.726	-14.854000000000001
ADCYAP1R1	2.551	-3.628	0.452	-19.614	-2.803	-32.803000000000004
ADD1	-8.443	-15.863	-11.46	-18.675	-13.219000000000001	-7.178999999999999
ADD2	-4.671	-13.681	-7.2139999999999995	-10.652000000000001	-18.684	-31.666
ADD3	4.026	2.103	-8.866	-21.519000000000002	-2.315	-5.9479999999999995
ADGB	3.372	-6.457999999999999	-5.94	-23.868000000000002	-2.642	-16.798
ADH1A	-5.676	-18.163	-13.899000000000001	-21.521	-17.026	-26.381999999999998
ADH1B	-9.446	-20.320999999999998	-5.526	-8.079	-17.873	-22.846
